distinct_id,case when page = '指南详情页' then '1' when page = '图书详情页' then '2' when page = '文献详情页' then '3' end,item_nid,count(1)
d:763ef573-44bd-37bd-b62f-b0bf878aaa4b,1,29489,1
u:1201674,1,4010,1
u:2321009,1,31015,1
u:309431,1,29043,1
u:2235418,3,1152763,1
u:1450956,1,31109,1
u:879702,1,26025,1
u:2331762,2,3474,1
u:939920,1,19637,1
u:1152876,1,31045,1
d:b86a835bca7a344a52f3e0b06ef4e8ba297818f1,2,5679,1
u:2163021,2,3294,4
u:2348532,1,6612,2
u:1453312,3,5361345,1
u:20010696,1,10109,1
u:257183,1,20645,1
u:2215836,1,190,1
u:1193772,3,13870251,1
u:2210166,3,1315228,1
u:563276,1,7892,1
u:2265786,3,897105,1
u:2045666,1,302,1
u:2199422,3,1096449,1
d:5298441f-7845-3364-a85a-2f354366bd07,2,5893,1
u:619414,1,12561,1
u:2353663,2,6639,1
u:2038812,1,1764,2
u:2091508,3,1126861,1
d:2a389a6d-1a6a-3414-b578-f22e13e1cb2e,1,10175,1
u:2115521,1,30611,1
u:276133,1,11917,1
u:2346962,3,14797631,1
u:2308503,3,12552019,1
u:470000,3,1372072,1
u:20012538,2,3219,1
u:2308515,1,2350,1
u:2198230,3,14974539,1
d:624f7a1a-f95c-36f1-9d0a-41e43d45ae52,1,18861,1
u:1020722,1,10807,3
u:171297,3,14934353,2
u:347333,3,5325811,1
u:2219399,1,22037,1
u:2070297,3,2565725,1
u:2210559,1,28125,1
u:922596,1,7354,2
u:2201755,1,17745,1
u:2351594,1,12669,2
u:919970,1,10781,1
u:1371468,3,14968091,1
u:2072086,2,112,1
u:2127338,1,10827,2
u:1341836,3,1051477,2
d:9cb31194-a1c4-3aad-8149-0590ad4047c6,1,187,1
u:444456,1,6302,1
u:2007963,3,13786625,1
u:1118308,1,499,1
d:bc7e8255-3bc5-3f79-ba2e-3e586ce07c68,1,8614,1
u:20072186,1,28485,1
u:2048511,1,30277,1
u:2228936,1,15305,1
u:770054,3,4552527,1
u:2340296,1,13247,1
u:501516,1,8931,1
u:2089308,3,14933331,1
u:2323962,1,6764,1
u:2002643,1,2138,1
u:2102365,3,2656443,1
u:31551,2,74,4
u:2090659,1,19685,2
u:2316799,1,25221,1
d:b22f7de5-ff74-3d04-b644-56efe2629d30,1,2246,1
d:5bf58ce86a39f7be9acb0e2477fa59a583c4eab7,1,26393,1
d:d18a57ce-f16d-3aa9-94ad-5f70e9db0666,1,3252,2
u:2275126,3,14341287,1
u:997636,2,6655,1
d:16bcc1f8-d60c-3279-88c0-5f914bdb58cb,3,5679733,1
u:2353300,1,20329,1
d:cb539a4a-755f-3379-a733-85ce6b600d87,3,14973119,1
u:673122,1,29325,1
u:1435338,1,8428,1
u:2008426,1,20043,1
u:2355221,1,27971,1
u:2191262,1,6660,1
d:21600371e8ff3abfb0c47208aab35fbe97d6e2df,1,29393,1
u:1377138,1,12249,1
u:2275607,3,991717,1
u:1164732,3,14999445,1
u:20010696,1,12117,2
u:2230589,1,30071,1
u:2228936,1,9339,1
u:2042173,3,15003801,1
u:2179942,1,15659,1
u:2227251,1,16503,2
d:bc04a747-3002-3b1a-b3bd-a49e397cc25e,3,14973115,1
u:2208380,3,13296403,1
u:2253702,3,5507621,1
u:2288393,1,25071,2
u:1465638,1,17229,1
u:2250888,1,102,1
u:544244,1,30993,1
u:433908,3,14759385,1
u:2041555,3,15004157,1
u:2223768,1,19859,1
u:2152862,3,12655387,1
u:370809,1,19379,1
u:2217288,2,3020,1
u:2354408,1,9023,2
u:2300073,1,22673,1
u:2085988,3,2313635,1
u:2277972,1,15939,1
u:20017174,1,25703,1
u:2052242,1,3132,1
d:918546e0-7192-3c62-9870-7aa92eba53e1,3,15025955,1
u:2321628,1,2798,1
u:1419496,1,9513,1
u:726150,1,28465,1
u:269027,3,14998667,1
u:472636,1,8666,1
u:2065044,1,21285,1
u:617404,3,5606327,1
u:883946,2,6345,1
u:2090863,3,14992969,1
u:1129100,1,354,1
u:2309163,1,18825,1
u:2321710,2,8,1
u:2247475,2,6385,1
u:2253037,1,19845,1
u:549014,1,6756,2
u:2275511,3,14826047,1
u:2354902,1,16843,1
u:87246,1,28391,1
u:2204972,2,100,1
u:2053886,3,2302193,1
u:2318087,2,2554,1
u:20049824,1,2574,1
u:2312919,1,8999,3
u:1212148,1,6612,1
u:697624,1,19065,3
u:2277972,1,4854,5
u:2288779,1,22945,1
u:2324761,1,434,1
u:2262144,1,3262,2
u:2124424,2,5665,1
u:667702,2,3796,1
u:20016442,1,25581,2
u:2056846,3,4365173,1
u:649782,1,17997,1
d:a488820f-5a7c-37c4-9d6e-8815255ca328,1,23531,2
u:460934,3,15006181,1
d:c4de76a3-a685-3010-bc06-800e4a20f22e,3,13459439,1
u:1314482,3,2464569,1
u:2298770,2,6021,1
u:2275467,3,13005143,1
u:2116495,3,15002379,1
u:2201602,3,14974539,1
u:1110996,1,6760,1
u:2217650,1,5860,3
u:1273570,1,17229,1
u:2033070,3,826003,1
u:201323,3,5187345,1
u:2280984,1,8831,1
u:2343373,1,446,1
u:305849,1,10953,1
u:2178341,3,5705695,1
u:2207741,2,6287,1
d:9a5b835a-92a5-33b4-9782-55680078be26,3,14974539,1
u:2233330,3,15000005,1
u:2326590,1,30337,1
u:2320387,2,72,1
u:2232232,3,14974539,1
u:769906,1,8867,1
u:2294803,1,147,1
u:2355245,1,302,1
u:626988,2,5773,1
d:b90ec57f-cfa7-362d-b3a6-ad2216ac4434,3,12479015,1
u:2293125,1,16149,1
u:2331455,1,6704,1
u:2295400,3,5834641,1
d:e1e59f74-5799-3f33-89dc-c43b25b7fac4,1,1628,1
u:1201206,1,7790,1
u:2338408,1,21577,1
u:2351961,3,15009957,1
u:717324,3,15022475,1
u:1196106,1,17159,1
u:2000419,3,4038193,1
u:2337090,3,5354883,1
u:1336144,3,14973119,1
u:712048,3,5813201,1
u:2280537,1,20299,2
u:2043983,3,14295829,1
u:43011,3,2902319,1
u:2273017,1,95,1
u:384623,3,3023899,1
u:2330503,1,18835,1
d:9c03deef-826f-3fd4-8ae0-76f03e13035a,1,7868,1
u:2095815,1,3022,1
u:2241955,3,3359315,1
u:607170,1,137,4
u:552802,3,13786999,1
u:2186282,3,15003247,1
u:2270010,2,6173,1
u:2085901,1,25353,1
u:208547,3,12673461,1
u:459504,3,13670559,1
u:598674,1,5824,1
u:2265630,3,2742739,1
u:2237192,1,27163,1
u:2072086,2,3308,2
d:948fd972-6700-308b-bb0f-a73ed5119293,1,19575,1
u:2230996,3,13433939,1
u:2353335,1,11463,2
u:1044232,1,9195,1
u:384715,1,28587,1
u:2133292,1,18009,2
u:2160003,1,10807,1
u:2283866,1,17431,1
u:20015684,3,14978397,1
d:51e34293-89e7-3bcd-81b7-009b5af03f0d,2,6295,1
u:890860,3,2544653,1
u:368201,3,14897855,1
u:19944,1,14869,1
u:2293308,1,15587,1
u:2340914,1,8680,1
u:2231225,1,23771,1
d:9a5b835a-92a5-33b4-9782-55680078be26,3,13499025,1
u:2354201,3,14977811,1
u:1094856,3,1508020,1
u:2290496,1,27243,1
u:2172594,3,14389123,1
u:2352733,1,30991,1
u:2287032,1,70,1
u:2071114,1,506,2
u:2298515,3,1306540,1
u:1106958,2,3252,1
u:31424,1,17909,1
u:789870,1,20043,1
u:2342482,1,7028,2
u:2353515,1,5610,1
d:d0ddd73e89c5cf58a04a563b8e5eb7f798a5d545,1,12661,3
u:704148,1,12667,1
d:cdc24298bf16b5f45d3066cb41033a043d75375a,3,13469713,1
u:2297723,1,15737,1
u:1307366,1,216,2
u:326775,1,487,1
u:253417,2,6593,1
u:2109006,1,14875,1
u:39221,3,15003793,1
d:71dd54a3-6a0c-3273-953d-b91510db9a26,3,3043417,1
d:f9321708-2f54-3e6c-acea-00558233987b,1,26603,1
d:4cd0bcbb-7238-388d-b1fb-01a337da4b21,1,6752,1
u:2296075,1,19101,1
u:2125200,1,22149,1
u:337723,2,8,1
u:1488150,2,6773,1
u:315275,1,25501,1
d:b50943ef-4a81-3384-9f8a-91fecaa859da,2,28,1
u:2133824,1,343,1
u:2351369,2,3464,1
u:2022738,2,3638,1
u:2270135,2,2102,1
u:2038267,1,8735,3
u:2351705,3,14977811,1
u:881444,1,11701,1
u:2248486,1,4128,1
u:242207,1,3054,2
u:2034690,1,16351,1
u:1455308,1,11505,1
d:d90cda42-5672-354f-9060-a120038db3c3,3,12459331,1
u:20016754,1,280,3
d:349f6534-5e12-3a9e-8113-bfe67f94b409,1,11379,1
u:2164592,3,15002355,1
u:2045851,1,21457,1
u:2034690,1,141,1
u:20076858,2,3492,1
u:2204372,2,6299,2
u:2143771,2,2446,1
u:2208335,3,12659003,1
u:1304692,1,22229,1
u:906784,3,5806431,1
u:2205176,1,16739,1
u:2086384,1,4512,1
u:692676,1,16379,1
u:947680,1,13221,1
d:e430e84a77ed2d110cf9ce64630e673a9f780c32,3,2830793,1
d:e81ddb5d4b9e7804a37153ef2bceed8862e44c5d,3,15002263,1
u:2300345,1,30835,2
d:94b4dd1547591364e485d5cce8c160764ae863d5,3,1530030,1
u:2147618,1,22229,1
u:370007,3,1059651,1
u:2193940,3,12368911,1
u:577834,1,16281,1
u:219719,1,31057,3
u:972054,2,3788,1
u:1155210,1,21577,1
u:771546,2,26,1
u:831348,1,3252,1
u:2042125,3,4364477,1
u:2064508,1,17741,1
u:2229280,3,15003795,1
u:2010748,1,22719,2
u:760808,1,1744,1
u:20009242,1,28693,1
u:2348889,3,2448995,1
u:487088,1,7070,1
u:2284595,3,13023107,1
u:975050,1,8849,1
u:2335348,2,5909,1
u:2322834,1,2510,1
u:2110237,1,13247,1
u:2171853,1,25689,1
u:2199115,1,8941,2
u:1152790,1,31081,1
u:970746,3,14935707,1
u:20012222,1,10681,1
d:5f1c89df28f7c9d0e3e92a547b4f0970c8c173c9,3,12686619,1
u:2042037,3,12459285,1
u:20007506,3,14759385,1
u:2348858,1,13317,1
u:2114158,1,29163,2
u:2034290,3,4507523,1
u:2223188,1,29137,2
u:20101402,1,8642,1
d:e78557b8-16ea-3c2b-96fd-b71bd9f88a47,2,6551,1
u:2145829,1,12661,1
u:1085422,1,499,2
u:1396712,1,8332,1
u:15604,2,6783,1
d:3d8f8d37-7405-3dec-af1c-b9652c1ccf71,1,10735,1
u:779114,2,2558,1
u:2193641,1,24881,1
d:02a0f2c4-0210-300d-b081-821e6913c176,1,21023,1
u:2129399,1,2970,1
u:2325318,1,25463,1
u:2180838,3,13098509,1
u:2097596,2,6637,1
u:154311,1,30171,1
u:2342098,1,13535,1
u:1485056,1,17419,1
u:985824,1,6672,1
u:2043803,1,260,1
u:2337543,1,18101,2
u:3425,1,26695,1
u:2342877,1,23587,1
d:646c91c4-a535-323b-bb9f-cf1b91c02804,3,14261795,1
u:2027291,1,2410,2
u:699212,3,12941375,1
u:905032,3,4560283,1
u:2239572,1,1626,3
u:2191596,1,20017,1
u:218881,1,9325,1
u:2353251,1,11955,1
u:2033796,3,13401837,1
u:2329034,3,3065749,1
u:619002,1,9221,1
u:2247569,1,10563,1
u:2246270,1,8731,1
u:2351455,1,21111,1
u:2100704,2,26,3
u:804874,3,4133185,1
u:20028226,1,29899,1
u:20055196,3,1517502,1
d:10eea56b-e0b9-3b27-bb93-79acdfbcd723,1,11287,1
u:2345785,2,2780,1
u:7812,1,4534,1
d:7867d62b-90aa-34b9-a7b0-abf46759a52d,1,28485,2
u:1261276,2,3384,1
u:2146713,1,5550,1
d:a78016fc01e4872f686d43f4a77538606b969b02,3,14973119,1
u:2338482,1,30337,1
u:294631,3,14974539,1
u:205015,1,2500,1
u:659714,1,146,1
u:2353136,1,23279,1
u:1281734,3,2411915,1
u:2138524,2,6173,2
u:2168007,3,4542897,2
u:128391,1,17369,1
u:2306850,2,6383,1
u:2334975,1,27089,5
d:72e6b815-e75d-3ea8-b163-f0c2fc1d9fad,1,20065,1
u:2186104,1,293,1
u:2334011,1,6612,2
u:2034879,1,29441,1
u:716938,3,1494174,1
u:1402834,2,3286,1
u:2351820,1,27999,1
d:6104e928c8fafa2b9c418bfc9a479cfe0526c1e6,1,28061,1
u:1461306,3,1030377,2
u:2343422,3,15024093,1
u:2351522,3,15002841,1
u:1089462,2,36,1
u:2215074,2,6227,2
